No,Nama Resep,Kelas_YOLO,Kategori_Search,Deskripsi,Bahan-bahan,Jumlah Bahan,Langkah Memasak,Jumlah Langkah,Waktu Memasak,Jumlah Porsi,Penulis,Lokasi Penulis,Sumber,URL
1,Asinan Sayur Betawi,asinan-jakarta,asinan jakarta,Di rumah ada kerupuk mie banyak jadi coba bikin asinan,10-20 gr ebi | 6 siung bawang putih | 4 bh cabe merah besar | 6 bh cabe rawit | Secukupnya asam jawa | 2 sdm cuka | 2 btg Selada air | 1 bh Timun | 30-40 gr Kacang | 2 keping gula merah | 1 buah wortel | 20 gr toge | Secukupnya kerupuk mie | secukupnya Garam | secukupnya Gula pasir,15,"Sangrai ebi || Goreng kacang, lalu haluskan bersama bawang putih, semua cabe, ebi dan tambahkan air || Tumis bumbu halus, tambahkan air secukupnya. Tambahkan gula merah, garam dan gula pasir || Lalu tambahkan air asam jawa dan cuka || Test rasa kalau masih kurang tambahkan gula atau garam lagi || Siapkan semua sayur yang sudah dipotong, kerupuk mie, dan kacang goreng. Tuangkan bumbu sampai meresap",6,,,kerajinanku @kerajinanku Indonesia,,cookpad,https://cookpad.com/id/resep/25543341
2,Asinan Sayur Betawi,asinan-jakarta,asinan jakarta,"Bismillah.. Setelah sekian lama gak bebikinan Asinan, yukk mari bikin lagihh!! 🔥🔥 Sembari posbar kacang²an memperingati hari Tani 🌾🌾 Nyontek resepnya kak Ina @cook_dapursedepedes 🙏🏻🙏🏻 jadi resep paporid nih kak! 🥰🥰 Syegerrrr berasa makan Salad 😍😍💚💚 #CookpadIndonesia...","Bumbu Kacang : | 250 gr KACANG TANAH | 5 bh Cabe merah keriting | 5 bh Cabe rawit merah | 2 siung Bawang putih | 250 ml air | Bahan lainnya : | 1 sdm Ebi sangrai (me: adanya Rebon ) | 1 sdm garam | 4 sdm gula pasir | 1 sdm Cuka | 150 ml air Asam Jawa | 500 ml air | Sayuran : | Secukupnya daun Selada , iris | Secukupnya Kol , iris tipis | Secukupnya Wortel , potong korek | Secukupnya Timun , potong selera | Secukupnya TAUGE , petiki | Secukupnya Tahu , kukus potong kotak | Pelengkap : | 200 gr gula merah , cairkan dengan 100 ml air | KACANG TANAH goreng | Kerupuk mie | Kerupuk Pinky",25,"Siapkan semua bahan yang akan digunakan || Goreng kerupuk mie, kerupuk Pinky hingga matang, sisihkan. Iris halus segala Sayuran. Kukus Tahu, lalu potong² || Blender bahan bumbu Kacang. Jangan lupa SISIHKAN sebagian Kacang goreng untuk taburan Masak bumbu Kacang di atas api sedang, tambahkan 500 ml air matang, Ebi, garam, gula merah, gula pasir, air asam Jawa dan Cuka. Masak hingga mendidih. Koreksi rasa (asam, asin, pedas, manis, segar) || Penyajian : dalam mangkok tata sayuran, Tahu kukus dan remukan Kerupuk mie, Kerupuk Pinky. Siram kuah Kacang secukupnya, tuang gula merah cair di atasnya. Taburi dengan Kerupuk pinky dan Kacang goreng || Sajikan segera.. Shluurphh! 😋😋👍🏻",5,60 menit,7 porsi,"Dina Yuandha @cook_12377473 Jakarta - Dumai, Riau",,cookpad,https://cookpad.com/id/resep/25030136
3,Asinan Sayur Betawi,asinan-jakarta,asinan jakarta,"Sayuran dicemilin? Ya ini Asinan Sayur Betawi yang segar, pedas, enak...yuk bikin. #Semangcook_SayurDiCemilin #NgemilSayur #GAS2025 #SemangcookHokyaHokye25 #CookpadCommunity_Semarang","100 gram selada keriting , iris-iris | 100 gram sawi asin , iris tipis (me: skip) | 50 gram ketimun , potong-potong | 100 gram kubis , iris tipis | 100 gram taoge | 50 gram wortel , serut | 200 gram tahu putih , potong dadu, kukus | 75 gram mi kuning , seduh, tiriskan (me: skip) | Bahan saus: | 500 ml air | 100 gram gula merah , sisir halus | Bumbu halus: | 150 gram kacang tanah goreng | 3 buah cabe merah besar | 3 buah cabe rawit | 25 gram ebi sangrai | 2 sdt cuka | 1 sdt garam | 25 gram gula pasir | Bahan pelengkap: | secukupnya Kerupuk mi goreng | Kerupuk merah goreng secukupnya, me: skip | 50 gram kacang tanah goreng",23,"Saus: rebus gula merah dan air hingga mendidih, angkat dan saring. || Masukkan bumbu halus, lalu rebus lagi hingga mendidih, angkat dan dinginkan. || Tata sayuran, tahu dan mi dalam piring saji, lalu siram dengan bumbunya. || Sajikan bersama pelengkapnya.",4,45 menit,,Fara Saskia @saski_14,,cookpad,https://cookpad.com/id/resep/25022722
4,Asinan Betawi🍍🥒🥕🌶️,asinan-jakarta,asinan jakarta,"Asem,manis,seger...cocok di santap saat musim panas seperti ini....😋 Resep by kak @WeJe 😋makasih resepnya kak🙏beberapa bahan ku modif menyesuaikan selera yaa☺️ #SentuhanBuah #GAS2025",2 wortel serut kasar | 6 kotak tahu putih (kukus lalu potong kotak kotak kecil) | 1 mentimun geprek lalu cincang kasar | 100 gram tauge (kira kira 2 genggam) | 1/2 buah nanas potong kecil kecil | 1/4 kol iris halus | Bumbu halus untuk kuah asinan | Segenggam kacang tanah goreng | 5 cabe rawit | 10 cabe keriting merah(ku skip) | 1000 ml air | 4 keping gula merah | 1 sdm gula pasir | 2 sdm cuka | 2 asam kandis | 1 1/2 sdt garam | Pelengkap | Secukupnya Kerupuk mie | Secukupnya kacang tanah goreng,19,"Kita siapkan bahan bahannya.. || Bahan kuah asinan: Haluskan percabe an dan kacang tanah goreng..lalu campur dengan bahan kuah lainnya...masak hingga mendidih..jangan lupa koreksi rasa...jika sudah pas..matikan api...biarkan uap panas nya hilang.... || Ambil wadah lain..campurkan tauge,timun,wortel,nanas,kol dan tahu....lalu siram dengan kuah yg udah dingin...aduk rata.. || Asinan betawi siap di simpan di kulkas sebelum di sajikan 👍 || Yummy😋segerrr banget || Di tambah kerupuk mie makin mantap👍😋 || Selamat mencoba💙",7,30 menit,6 porsi,Shazmina Kitchen Diary🐥 @kanifff Jawa Barat,,cookpad,https://cookpad.com/id/resep/24863682
5,Asinan Betawi,asinan-jakarta,asinan jakarta,"Baru kali ini bikin Asinan Betawi, dan ternyata keluarga juga suka. Rasanya syegeeer, fresh banget karena semua sayurannya tanpa proses pemasakan, jadi teksturnya masih kres kres dan yang pasti kandungan gizinya masih tetap terjaga ya 👌. #Salad #PlatingShanti #KhasBetawi...","100 gram Tauge | 4 lembar Daun Selada , potong² | 3 lembar Kubis , iris | 2 buah Timun Baby, iris | 1 buah Wortel , potong korek api | 2 buah Tahu Kuning , rebus sebentar saja | Saus Kacang: | 5 buah Cabe Keriting Merah | 50 gram Kacang Tanah Goreng | 50 gram Gula Jawa , sisir | 150 ml Air | 1/2 sdt Ebi Sangrai Bubuk | 1/2 sdt Garam | 1/2 sdt Cuka Makan | Pelengkap: | Kecang Tanah Goreng | Kerupuk Mie Kuning",17,"Cuci bersih dan potong semua sayuran. Sisihkan. Saus Kacang: haluskan kacang tanah, cabe, dan ebi. Tuang ke dalam pan, lalu tambahkan air, gula jawa, dan garam. Masak dengan api kecil sambil diaduk hingga gula larut. || Setelah mendidih, tambahkan cuka. Aduk rata lalu tes rasa. Angkat. || Penyajian: tata potongan tahu dan semua sayuran lalu beri saus kacang dan pelengkap. Asinan Betawi siap disajikan ❤❤.",3,30 menit,4 porsi,Nay's Kitchen @shanti_dewi Yogyakarta,,cookpad,https://cookpad.com/id/resep/16442961
6,Asinan Buah Betawi,asinan-jakarta,asinan jakarta,#KhasBetawi #GAS2025 Cooksnap resep @buguru_,"2 bh bengkuang | 2 bh mangga (saya skip) | 3 bh kedondong | 1 bh nanas | 500 ml air | 3 sdm gula pasir | 1 sdm asam jawa | 2 bh gula jawa | Secukupnya garam halus | Bumbu halus | 8 bh cabe keriting | Secukupnya terasi , dibakar",12,"Kupas buah, potong-potong Dan cuci bersih. Sisihkan || Haluskan terasi dan cabe merah || Rebus air hingga matang, masukkan bumbu yang telah dihaluskan. Masukkan gula, garam, asam jawa dan gula jawa. Aduk-aduk hingga mendidih. Setelah mendidih, matikan api dan dinginkan. || Campurkan kuah asinan bersama buah potong. Bisa disaring kalau mau. Simpan di kulkas. || Asinan buah Betawi siap disajikan.",5,30 menit,,Ira H @itikkecil,,cookpad,https://cookpad.com/id/resep/24840332
7,795. 🥗Asinan Betawi,asinan-jakarta,asinan jakarta,"🥗Asinan Betawi. Bismillah.. Kita Ikut serta merayakan hari jadi Ibukota yuks, dengan rasa yang tak pernah lekang oleh waktu makanan Betawi (termasuk kudapan dan minuman) yang penuh kenangan dan cita rasa khas betawi. Salah satunya adalah Asianan betawi ini😅 Source : Let'S Go...","1 buah wortel , potong korek api | 2 buah mentimun , buang biji, iris | 3 lembar daun selada bokor | 50 gram kol , iris tipis | 30 gram taoge | 100 gram sawi asin | 1 buah tahu kuning (me : tahu Putih ) | 🥀Bahan Kuah : | 8 buah cabai merah , rebus | 50 gram kacang tanah sangrai/goreng | 2 sdt ebi , sangrai | 300 mi air | 80 gram gula merah | 15 gram asam jawa | 1 sdt garam | 2 sdm gula pasir | 🥀 Pelengkap : | secukupnya Kerupul mie | secukupnya Kacang tanah goreng/sangrai",19,"Siapkan semua bahan yang di gunakan || Rebus cabai hingga agak layu. haluskan cabai merah, kacang tanah, dan ebi menggunakan blender. || Lalu Masukkan ke dalam wajan/panci berisi air, tambahkan gula merah dan asam jawa, masak sampai mendidih. Kecilkan api, beri garam dan gula, aduk rata. Masak dan tunggu beberapa saat sampai kuah kacang harum, matikan api, biarkan dingin. || Tata sayuran di piring, lalu siram dengan kuah, beri kerupuk mi dan kacang sangrai. Sajikan.",4,30 menit,3 porsi,Intan Zahra Al Arsyad (Bunda'Reycha) @BundaReycha_85 Bekasi,,cookpad,https://cookpad.com/id/resep/24836973
8,Asinan Betawi,asinan-jakarta,asinan jakarta,"Salah satu makanan betawi yang pingin di recook ya bikin asinan ini, dan kata suami, ini enak banget #KhasBetawi #GAS2025",1/2 kotak tahu | 2 buah wortel serut | 1 mentimun kecil iris memanjang | 1/4 iris kol | 150 gr sla | 50 gr tauge | Bumbu kuah kacang | 150 gr kacang tanah goreng | 1 sdt ebi | 150 gr gula merah | 700 ml air matang | 100 gr cabe merah besar | 2 siung bawang putih | 1 sdt garam | 1 sdt kaldu ayam | 75 ml air asam jawa,16,"Sangrai ebi dan rebus cabe juga bawang hingga layy || Campurkan cabe dan bawang dengan ebi dan kacang, beri air dan blender hingga halus || Setelah halus, lalu pindahkan ke wajan, beri air kembali juga irisan gula dan air asam Jawa, tambahkan garam dan kaldu, aduk hingga tercampur rata, dan meletup, sesudah itu sisihkan || Rebus tahu putih, setelah itu tiris kan, potong, tata irisan kol, sla, tauge juga wortel dan mentimun, siram dengan saus kacang, dan beri kacang diatasnya, dan asina siap untuk dinikmati",4,,,finanzi raizah @finanzi87 malang,,cookpad,https://cookpad.com/id/resep/24840197
9,Asinan Betawi,asinan-jakarta,asinan jakarta,"Ini salad sayur yang bener2 endeuss,, pengalaman pertama bikin dan berhasil donk sesuai ekspektasi enaak polll 😍👌 cuma utk cabai nya nggak berani pake banyak2 aq cm pakai 2 bh rawit dan 2 kriting itu aja udh pedess 😁 CS by : @indryhapsari914 #KhasBetawi #GAS2025...","100 gr toge | 3 lembar kol | 2 buah mentimun ukuran kecil | 2 batang wortel ukuran kecil, kupas | 3 lembar daun selada keriting | Bahan Saus Kacang : | 100 gr kacang tanah (resep asli 150gr) | 3 buah cabai merah keriting | 10 buah cabai rawit merah/jablay | 100 gr gula merah / aren , sisir halus | 1 sdt ebi yg sudah disangrai dan dihaluskan | Secukupnya garam dan cuka makan | Secukupnya air matang | Pelengkapnya : | Kacang tanah | Krupuk Mie",16,"Tahu potong dadu sedang, lalu rebus sampai matang. Tiriskan, sisihkan. || Cuci bersih kol, wortel, timun, toge dan selada, gunakan air matang pada bilasan terakhir. Kemudian potong-potong dan iris semua bahan sayur, sisihkan. || Haluskan kacang tanah beserta cabai. || Tuang dalam wajan, beri air, aduk rata, masukan gula merah sisir, bubuk ebi dan garam, aduk rata lagi. Masak sampai mendidih, matikan kompor. Beri cuka makan, aduk rata. Koreksi rasa, saus siap digunakan. Kekentalan saus sesuaikan selera ya, kalau saya suka tidak terlalu kental. || Penyajian : Tata sayuran dan tahu dalam wadah saji. Siram dengan saus kacang. Beri taburan kacang tanah. Sajikan dengan kerupuk mie.",5,1 jam,3 porsi,Lailazegaff @lailazegaff Depok,,cookpad,https://cookpad.com/id/resep/24838697
10,Asinan Betawi,asinan-jakarta,asinan jakarta,Asinan Betawi adalah kuliner khas ibu kota jakarta hidangan berbahan utama sayuran dan saus kacang. Dalam rangka posbar makanan khas betawi aku buat asinan betawi tp sayang sawi asinnya aku skip karna aga sulit menemukan ya dikotaku. Tapi meskipun kurang sawi asin rasa...,1 buah wortel | 2 buah bonggol selada air | 100 gr toge | 2 buah timun lalap | 50 gr kol | 6 buah tahu putih | Bumbu kacang | 100 gr kacang kupas | 400 ml air | 5 buah cabe merah | 5 buah cabe rawit | 3 buah bawang putih | 1 sdm ebi sangrai (me ga pake) | 80 gr gula merah | 1 sdm asam jawa larutkan dengam air | 1 sdm cuka | Secukupnya garam dan penyedap | Bahan pelengkap | Secukupnya Kerupuk kuning | Secukupnya kacang goreng,20,"Goreng kerupuk kuning dam kacang sisihkan || Rebus tahu lalu sisihkan || Siapkan bahan saus kacang. Rebus cabe merah dan cabe rawit blender bersama bawang putih dan kacang yg sudah digoreng. || Rebus bahan saus tambahkan gula merah, air asam, garam penyedap dan cuka, koreksi rasa. Setelah matang sisihkan. || Iris2 semua sayuran. Dan poting2 tahu || Tata sayuran dan potongan tahu diatas piring lalu siram dengan saus kacang,,taburi dengan kacang goreng dan tambahkan kerupuk kuning.",6,30 menit,,Yessy Yoana @yessyyoana Surakarta,,cookpad,https://cookpad.com/id/resep/24839985
