Nama Resep,Kelas_YOLO,Deskripsi,Bahan-bahan,Jumlah_Bahan,Langkah Memasak,Jumlah_Langkah,Waktu_Menit,Porsi_Numerik,URL,Kompleksitas
Nasgor Udang,nasi-goreng,Mei26,1 porsi nasi | 1 sdm mentega | Secukupnya garam.kaldu.merica.kecap manis | 2 ekor udang | 1/2 sdm bumbu merah kasar Bumbu merah kasar | Pelengkap telur asin.udang goreng,6,Kupas udang dan cincang sampe halus || Lelehkan mentega masukan bumbu merah Jika sudah harum masukan udang cincang Oseng-oseng hingga berubah warna || Lanjut masukan nasi.garam.kaldu.merica.kecap Aduk rata Tes rasa || Terakhir masukan daun bawang Aduk rata lagi Dan nasgor siap dinikmati,4,,1.0,https://cookpad.com/id/resep/24378359,Sederhana
Nasi Goreng Telur,nasi-goreng,Nasi goreng adalah menu favorit untuk breakfast di resto hotel. Kitapun bisa membuat sendiri di rumah dengan rasa yang tidak kalah lezat dengan masakan resto. #CookpadApron2026 #MenuAlaResto,2 porsi Nasi putih | 1 batang daun bawang | 1 buah telur | 1 bungkus bawang putih bubuk | 1 sdt kecap asin | 1 sdt minyak wijen | Secukupnya margarin | Secukupnya garam dan merica | Secukupnya penyedap | Minyak secukupnya untuk menumis,10,"Campurkan bubuk bawang putih, merica dan penyedap dalam satu wadah kemudian sisihkan. || Potong daun bawang. Siapkan wajan dan beri minyak secukupnya. Tumis telur dan daun bawang sampai matang. || Masukkan nasi dan campuran bumbu di step 1. || Aduk hingga rata. Masukkan minyak wijen dan kecap asin, aduk kembali sampai rata. || Masukkan margarin secukupnya, aduk kemudian tes rasa. Tambahkan telur mata sapi sebagai pelengkap.",5,15.0,2.0,https://cookpad.com/id/resep/25722591,Menengah
Nasi Goreng Tomyum Ala Fe,nasi-goreng,"Ceritanya gara2 makan nasgor tomyum yang enak banget jadi pengen bikin sendiri dirumah, nanya apa bumbu tomyumnya ternyata bumbu sup tomyum import dari Thailand & nemu di setiabudi supermarket si bumbu tomyum yang enak sekali itu. Fe kirain bumbu tomyum itu...",300 gr nasi kemarin | 2 siung bawang putih geprek cincang | 1/4 siung bawang bombay iris2 | 1/4 batang sereh geprek | 2 lembar daun jeruk iris2 | 100 gr ayam fillet iris kecil | 5 buah udang kupas | 2 sdm pasta tomyum | 5 buah bakso ikan | 1 lembar daun bawang | 50 gr taoge / daun sawi (sesuai selera) | 1 sdm saus tiram | 1/2 sdt gula opsional | 1 sdt kecap ikan Thailand,14,"Tumis bawang putih, bawang bombay, sereh, daun jeruk hingga harum. Masukkan bumbu tomyum instant. Aduk rata. || Masukkan ayam & udang. Beri saus tiram & kecap ikan. Aduk hingga matang. Masukkan bakso ikan & daun bawang. Aduk rata. || Masukkan nasi. Aduk rata. Tambahkan kaldu bubuk sesuai selera. Cek rasa. Masukkan taoge. Aduk sebentar. || Sajikan hangat. Jika suka bisa disajikan bersama kuah tomyum.",4,60.0,2.0,https://cookpad.com/id/resep/25026799,Menengah
Nasi Goreng Ala Solaria,nasi-goreng,Dalam rangka memperingati hari Kartini di sekolah anak kemarin diadakan lomba masak nasi goreng kebetulan sy perwakilan kelas anak sy trs cek2 resep Nemu punya chef Devina Hermawan langsung aja eksekusi Alhamdulillah dapat juara harapan 3 walaupun belum dapat juara...,"2 porsi nasi | 2 telur ayam | 4 bakso ikan , potong | 50 gr ayam , potong dadu | Bumbu halus | 1 batang daun bawang | 6 ekor udang , kupas | 2 siung bawang putih | 3 siung bawang merah | 1 cabai merah | 1 sdt ebi | Bumbu pelengkap | 1/2 sdm kecap asin | 2 sdm kecap ikan | 1 sdm kecap manis | 1/2 sdt merica | 1 sdm saus tiram | 1/2 sdm margarin | Penyedap",19,"Siapkan bahan || Tumis bumbu halus hingga harum || Setelah harum masukkan nasi lalu aduk hingga rata, kemudian masukkan telur, bakso ikan dan udang yg sudah di tumis sebelumnya || Masukkan bumbu pelengkap, aduk kembali lalu masukkan cabe merah, cabe rawit dan daun bawang yg di iris serong aduk hingga tercampur rata. || Koreksi rasa jika sudah enak sajikan. Dg pendamping lainnya. Selamat mencoba,",5,30.0,2.0,https://cookpad.com/id/resep/25690667,Kompleks
Nasgor Jadul,nasi-goreng,Enak simpel deh,1 sdm mentega | 1 butir telur | Secukupnya garam.kaldu.merica | 1 porsi nasi | 1 siung baput | 2 bh rawit setan,6,"Ulek halus baput dan rawit || Lalu tumis hingga harum.pecahkan telur orak-arik, lanjut masukan nasi garam.kaldu dan merica || Aduk rata.tes rasa || Jadi deh",4,,1.0,https://cookpad.com/id/resep/24508393,Sederhana
Nasi Goreng Simple,nasi-goreng,"Nasi goreng ini biasanya dibuat dari nasi sisa di rumah, biar tidak terbuang tapi tetap jadi masakan yang enak. Dengan tambahan sayur dan bumbu sederhana, nasi sisa bisa berubah jadi menu yang praktis dan mengenyangkan.","1 piring nasi sisa (lebih enak nasi dingin) | 1 siung bawang putih | 1 siung bawang merah | 2 buah cabai atau sesuai selera | potong kecil Wortel secukupnya, | iris Sawi putih secukupnya, | secukupnya Kecap manis | secukupnya Penyedap | secukupnya Garam | secukupnya Minyak untuk menumis",10,"Panaskan minyak dengan api sedang. || Masukkan irisan bawang putih, bawang merah, dan cabai, lalu tumis hingga harum. || Masukkan irisan wortel dan sawi putih aduk hingga layu. || Masukkan kecap manis, garam, merica, dan penyedap. || Tambahkan nasi, aduk hingga tercampur rata. || Tambahkan seledri, aduk hingga semua tercampur. || Masak hingga nasi agak kering dan bumbu meresap. || Koreksi rasa, lalu sajikan.",8,20.0,,https://cookpad.com/id/resep/25733555,Menengah
Nasi Goreng Podo Moro (Hong Kong Recipe),nasi-goreng,"Menu sarapan mudah, murah, rasa luar biasa",2 mangkok sedang nasi | 3 butir bakso ikan | 2 butir bakso sapi | 1 butir telur | 1 gr jagung yang sudah dipipil | 1 batang daun bawang | 2 siung bawang merah | 3 siung bawang putih,8,"Potong bakso ikan dan bakso sapi sesuai selera || Goreng telur orak arik sisihkan || Cacah halus bawang merah dan bawang putih sisihkan. Potong daun bawang tipis2 || Rebus sebentar jagung sekitar 1-2 menit lalu tiriskan || Panaskan wajan dengan sedikit minyak tumis bawang merah dan bawang putih hingga harum dengan menggunakan api cenderung kecil supaya benar2 matang dan tidak langu || Kemudian masukkan nasi aduk2 sebentar, lalu masukkan bakso ikan, telur dan jagung, lalu tambahkan sejumput kaldu bubuk jamur/ayam, 2sdm kecap asin, 1sdm saos tiram. Aduk2 sebentar sampai bumbu tercampur rata, jangan lupa untuk di tes rasa. Sekiranya cukup taburkan daun bawang aduk sebentar, angkat dan siap disajikan.",6,15.0,,https://cookpad.com/id/resep/25724882,Menengah
Nasi Goreng Hongkong Simpel,nasi-goreng,"#Semangcook_MenuResto #CookpadApron2026 #MenuAlaResto #SemangcookHokyaHokye26 #CookpadCommunity_Semarang Hampir terlupa kirim resep... jam 22.44 baru mulai ngetik. Hehehehehe... Semangat!!! Bikin resep yang cepat dan dengan bahan yang ada dirumah. Selesai masak,...",250 g Nasi | 50 g Ayam filet potong kecil | 1 butir telur | 2 siung Bawang putih | 15 g Bawang bombay | 1 batang Daun bawang | Secukupnya Minyak goreng | 1 sdm Saus tiram | 1 sdt Kaldu bubuk | 1/4 sdt Garam,10,"Siapkan bahan terlebih dahulu, kocok lepas telur. Iris bombay, bawang putih dan daun bawang. || Panaskan minyak, tumis ayam dan orak arik telur. || Masukkan bombay, bawang putih dan daun bawang tumis hingga harum. || Matikan api, masukkan nasi serta saus tiram, kaldu bubuk dan garam. Aduk rata. Kemudian nyalakan api kembali. || Setelah tercampur rata, cek rasa kemudian sajikan.",5,10.0,,https://cookpad.com/id/resep/25724149,Menengah
Nasi Goreng Ala Resto,nasi-goreng,#MenuAlaResto #CookpadApron2026,1 piring nasi | 1 potong ayam goreng | 1 sdm margarine | 1 lembar daun bawang (iris) | secukupnya kaldu bubuk | secukupnya garam | secukupnya merica | 1/2 sdt kecap ikan,8,"Siapkan semua bahan-bahan yang dibutuhkan. panaskan wajan dan beri margarine. ceplok telor dan orak-arik. || Setelah di orak-arik masukkan potongan ayam dan nasinya || Beri kecap ikan, garam, kaldu bubuk, merica. aduk kemudian beri daun bawang. || Setelah diaduk rata cicipi rasa jika dirasa sudah pas matikan kompor dan siap disajikan.",4,15.0,,https://cookpad.com/id/resep/25723898,Menengah
Nasi Goreng Hongkong,nasi-goreng,"Source: @yoestmarine Assalamu'alaikum baru sempat nulis resepnya, hihiiii kebetulan ada nasi dan berbagai printilannya... Cuss deh bikin nasi goreng hongkong enak bgt #CookpadApron2026 #MenuAlaResto #KayuTanganApril2026 #CookpadCommunity_Malang #Dee_s","1 piring penuh nasi | 3 biji bakso | 2 buah sosis | 1 butir telur | Secukupnya mix sayuran (aku punya stock sayuran mix wortel , jagung , buncis dan kacang polong ) | 1 batang bawang prei | 3 siung bawang putih | 4 siung bawang merah | 5 biji cabe rawit (optional) | Seasoning | Secukupnya garam | Secukupnya kaldu bubuk | Secukupnya merica bubuk | Secukupnya minyak wijen | Secukupnya kecap asin | Secukupnya saus tiram | Secukupnya kecap manis",17,"Siapkan semua bahan, nasi, mix sayuran, telur, bakso dan sosis. || Haluskan bawang putih, bawang merah, cabe rawit dan garam lalu tumis hingga matang, masukkan mix sayuran. Tumis hingga sayur lunak. || Masukkan bakso dan sosis, aduk merata lalu masukkan telur, orak arik sebentar. || Masukkan nasi, beri bumbu seasoning lalu aduk merata. Jangan lupa test rasa. || Terakhir masukkan bawang prei, aduk kembali. || Nasi goreng hongkong siap disajikan dengan taburan bawang goreng dan topping sesuai selera",6,30.0,,https://cookpad.com/id/resep/25723993,Kompleks
Nasi Goreng Ala Resto Tanpa Kecap,nasi-goreng,"Menu ala resto kali ini ku buat nasi goreng sayur, tanpa sentuhan kecap.. Menu yg asing utk anak2 krn ini tanpa kecap guys.. Tp ternyata mereka worth it bgt loh.. Katanya enak, lgsg ludes aja.. #CookpadCommunity_Yogyakarta #SelaluIstimewa #Kopijos...","2 mangkok kecil Nasi putih | 1/2 bonggol Jagung pipil | 1/2 buah Wortel potong dadu | 1 batang Daun bawang , iris | 3 siung Bawang merah | 1 butir Kemiri | 1/2 sdt Garam | 1/4 sdt Micin ASATU Rose Brand | 1 sdm Margarin Rose Brand | 1 butir Telur",10,"Haluskan bawang merah, kemiri, dan sedikit garam. Panaskan margarin, tumis bumbu halus hingga harum. || Masukkan telur, orak-arik hingga matang. || Tambahkan wortel dan jagung, tumis hingga sayuran layu. || Masukkan nasi, aduk rata dengan bumbu dan sayuran. || Sebelum diangkat, masukkan daun bawang iris, aduk sebentar. || Angkat dan sajikan hangat.",6,30.0,2.0,https://cookpad.com/id/resep/25721434,Menengah
nasi Goreng Short Plate,nasi-goreng,Bismillah.. semoga bisa punya resto sendiri. Aamiin #Pais_MenuModifResto #MenuAlaResto #CookpadApron2026 #CookpadCommunity_Bandung Haturnuhun,"1 mangkok nasi | secukupnya, Slice beef | 1 butir telur | 1 sdm saos tiram | 1 sdm Bawang putih bubuk | Sejumput merica bubuk | secukupnya Garam",7,"Panaskan minyak, masukan telur, setelah matang masuk slice beef, dilanjut nasi. Aduk rata || Masukan bumbu2 semuanya aduk rata || Aduk rata sampai keluar aroma smoky || Plating kayak di resto2.",4,15.0,,https://cookpad.com/id/resep/25723081,Sederhana
Nasi Goreng Spesial,nasi-goreng,"Nasi goreng ala resto disajikan dengan tampilan elegan dan cita rasa yang lebih kaya, memadukan nasi yang pulen dengan bumbu rempah pilihan yang ditumis hingga harum menggoda. Setiap butir nasi terbalut sempurna oleh resep spesial yang gurih dan sedikit manis,...",secukupnya Ayam | 1 helai Daun bawang | secukupnya Ati ampela | 3 potong Timun | sejumput Garam | 1/2 sdt Kecap asin | sejumput Lada bubuk | sejumput Micin | secukupnya Kecap manis | Bumbu nasi goreng | 25 gr Bawang putih | 50 gr Bawang merah | 25 gr Kemiri | 25 gr Ebi kering | 200 ml Minyak goreng | 1/2 sdt Garam | 1 sdt Lada bubuk | 1 sdt Micin,18,"Siapkan semua bahan²nya jika ingin pedas siapkan sambal sesuai selera || Setelah meracik dan menyiapkan bumbu nasi goreng yang telah matang, nyalakan kompor dg api besar || Panaskan minyak sedikit saja, lalu tuangkan telur yang sudah dikocok lepas diamkan 5 detik baru di tumis, setelah itu disusun pertopingan tumis kembali. Kemudian tuangkan bumbu nasi goreng yang tadi dibuat 1 ½ sdm beserta sambal lalu tumis cepat setelah itu masukan daun bawang yang telah dipotong tadi || Kemudian masukan nasi perak atau nasi kemarin ya... Lalu tumis kembali sampai tercampur dgn bumbu dan toping lalu masukan kecap asin dan kecap manis secukupnya lalu tumis kembali sembari ditekan dengan api besar tumis sampai benar2 merata, dan jangan lupa sebelum itu masukan perbumbuan bubuknya setelah selesai menumis koreksi rasa dahulu. Setelah itu matikan kompor dan sajikan",4,5.0,1.0,https://cookpad.com/id/resep/25722884,Kompleks
Nasi Goreng,nasi-goreng,#MenuAlaResto #CookpadApron2026,2 piring nasi | 3 siung bawang merah | 1 siung bawang putih | 3 cabe merah | 2 sendok makan saus dan kecap | 1 sendok makan penyedap rasa,6,"Siapkan semua bahan, potong kecil kecil bawang merah, bawang putih dan cabe merah || Siapkan minyak di atas penggorengan dan tunggu sampai panas. Setelah panas masukkan potongan tadi dan goreng sampai wangi || Setelah wangi masukkan nasi dan semua bumbu tadi lalu aduk aduk hingga rata || Setelah merata, angkat dan sajikan, selamat menikmati",4,35.0,,https://cookpad.com/id/resep/25722852,Sederhana
