Kelas_YOLO,Bahan_Penyusun
nasi-goreng,"garam, bawang putih, bawang merah, telur, kecap manis, saus tiram, kecap asin, minyak goreng, nasi"
rendang,"garam, bawang putih, bawang merah, daun salam, daun jeruk, air, daging sapi, kemiri, jahe, ketumbar, lengkuas"
soto-ayam,"bawang putih, bawang merah, daun salam, garam, daun jeruk, air, bawang goreng, kemiri, jahe, jeruk nipis, ketumbar, kunyit, lada bubuk, telur rebus, kaldu bubuk"
gado-gado,"garam, bawang putih, air, telur rebus, gula merah, kacang tanah, kentang"
bakso,"garam, bawang putih, air, bawang merah, saus tiram, kecap manis, daun bawang, kaldu bubuk"
mie-goreng,"bawang putih, bawang merah, garam, kecap manis, telur, saus tiram, kemiri, lada bubuk, kaldu bubuk, kecap asin"
asinan-jakarta,"garam, air, kacang tanah goreng, gula pasir, cuka, bawang putih, gula merah, cabe rawit, kerupuk mie, toge, asam jawa, wortel , potong korek api, cabe merah besar, keping gula merah, kacang tanah"
ayam-betutu,"bawang merah, bawang putih, garam, air, ketumbar, kunyit, daun jeruk, kemiri, merica, lengkuas, jahe, daun salam, jempol jahe, cabe rawit, terasi"
ayam-bumbu-rujak,"garam, bawang putih, bawang merah, daun jeruk, daun salam, air, serai, kunyit, bumbu halus, jahe, kemiri, lada bubuk, penyedap, kemiri sangrai, gula merah"
ayam-goreng-lengkuas,"bawang putih, bawang merah, daun salam, garam, daun jeruk, kemiri, ketumbar, lengkuas, merica, cm kunyit, merica bubuk, cm jahe, bumbu halus :, ayam, air"
bika-ambon,"garam, gula pasir, ragi instan, tepung tapioka, kental manis cap enaak, bahan b, tepung terigu, daun pandan, bahan d, bahan c, bahan a, telur ayam, daun jeruk, telur, santan"
bir-pletok,"cengkeh, air, kapulaga, daun pandan, lada hitam, kayu secang, cm kayu manis, gula pasir, jahe, genggam kayu secang, bunga lawang, lada putih, sereh , geprek, jahe , geprek, segenggam kayu secang"
bubur-manado,"garam, daun salam, air, kaldu bubuk, daun jeruk, ikat kangkung, ikat kemangi, ikat bayam, gula, jagung, labu kuning, serai, sambal terasi, jagung manis pipil, lada"
cendol,"air, daun pandan, garam, gula pasir, kental manis cap enaak, tepung tapioka, tepung beras, santan rose brand, es batu, gula merah, gula merah / gula aren"
es-dawet,"air, daun pandan, garam, gula pasir, kuah santan :, kental manis cap enaak, es batu, sendok teh garam, santan rose brand, gula merah, santan instan, kuah santan:, gula aren, tepung beras, santan"
gudeg,"bawang putih, garam, daun salam, bawang merah, ketumbar, kemiri, nangka muda, bumbu halus, air, kaldu bubuk, daun jeruk, cm jahe, santan, santan kental, ketumbar bubuk"
gulai-ikan-mas,"bawang putih, bawang merah, garam, jahe, daun salam, cabe rawit merah, asam kandis, kunyit, air, daun kunyit, bumbu halus :, kaldu jamur, gula, garam & penyedap rasa, jeruk nipis"
kerak-telor,"garam, bawang goreng, serundeng, bahan serundeng :, gula pasir, bumbu halus :, minyak goreng, air, cm kencur, cm jahe, air matang"
